k_date,title,place,lat,lon,url_link,start_date,end_date,area,category,dt
20240401 ~ 20241214,숭례문 파수의식 원데이! 파수군,숭례문,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=33761789&qvt=0&query=%EC%88%AD%EB%A1%80%EB%AC%B8%20%ED%8C%8C%EC%88%98%EC%9D%98%EC%8B%9D%20%EC%9B%90%EB%8D%B0%EC%9D%B4%20%ED%8C%8C%EC%88%98%EA%B5%B0,20240401,20241214,,,
20240323 ~ 20241215,부산국제매직페스티벌,행사별 상이,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=24825585&qvt=0&query=%EB%B6%80%EC%82%B0%EA%B5%AD%EC%A0%9C%EB%A7%A4%EC%A7%81%ED%8E%98%EC%8A%A4%ED%8B%B0%EB%B2%8C,20240323,20241215,,,
20240219 ~ 20241117,청도 프로방스 빛축제,청도프로방스,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=13074893&qvt=0&query=%EC%B2%AD%EB%8F%84%20%ED%94%84%EB%A1%9C%EB%B0%A9%EC%8A%A4%20%EB%B9%9B%EC%B6%95%EC%A0%9C,20240219,20241117,,,
20240302 ~ 20241231,구팔일 댕댕이 레이싱!,9.81파크 제주,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=32617916&qvt=0&query=%EA%B5%AC%ED%8C%94%EC%9D%BC%20%EB%8C%95%EB%8C%95%EC%9D%B4%20%EB%A0%88%EC%9D%B4%EC%8B%B1,20240302,20241231,,,
20240201 ~ 20241231,서창별빛거리,서창2지구 회전교차로 일원,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=29568231&qvt=0&query=%EC%84%9C%EC%B0%BD%EB%B3%84%EB%B9%9B%EA%B1%B0%EB%A6%AC,20240201,20241231,,,
20240201 ~ 20241231,만수천 빛의거리,만수복개천 공영주차장 일원,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=32862951&qvt=0&query=%EB%A7%8C%EC%88%98%EC%B2%9C%20%EB%B9%9B%EC%9D%98%EA%B1%B0%EB%A6%AC,20240201,20241231,,,
20240103 ~ 20241207,생생국가유산 중랑구 체험학습 (생생문화재),"망우역사문화공원, 봉수대공원",,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=26445692&qvt=0&query=%EC%83%9D%EC%83%9D%EA%B5%AD%EA%B0%80%EC%9C%A0%EC%82%B0%20%EC%A4%91%EB%9E%91%EA%B5%AC%20%EC%B2%B4%ED%97%98%ED%95%99%EC%8A%B5%20%EC%83%9D%EC%83%9D%EB%AC%B8%ED%99%94%EC%9E%AC,20240103,20241207,,,
20240101 ~ 20241231,안산별빛마을 애니멀 & 하트빌리지 빛축제,안산별빛마을포토랜드,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=2462599&qvt=0&query=%EC%95%88%EC%82%B0%20%EB%B3%84%EB%B9%9B%EB%A7%88%EC%9D%84%20%EC%95%A0%EB%8B%88%EB%A9%80%20%ED%95%98%ED%8A%B8%EB%B9%8C%EB%A6%AC%EC%A7%80%20%EB%B9%9B%EC%B6%95%EC%A0%9C,20240101,20241231,,,
20240101 ~ 20241231,서울랜드 불빛축제 루나파크,서울랜드,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=9760759&qvt=0&query=%EC%84%9C%EC%9A%B8%EB%9E%9C%EB%93%9C%20%EB%B6%88%EB%B9%9B%EC%B6%95%EC%A0%9C%20%EB%A3%A8%EB%82%98%ED%8C%8C%ED%81%AC,20240101,20241231,,,
20240101 ~ 20241231,허브아일랜드 불빛동화축제,허브아일랜드,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=1908914&qvt=0&query=%ED%97%88%EB%B8%8C%EC%95%84%EC%9D%BC%EB%9E%9C%EB%93%9C%20%EB%B6%88%EB%B9%9B%EB%8F%99%ED%99%94%EC%B6%95%EC%A0%9C,20240101,20241231,,,
